
[2020-02-22 19:57:32,012][exts.essentials]:Innitalized exts.essentials logger

[2020-02-22 19:57:32,012][exts.development]:Innitalized exts.development logger

[2020-02-22 19:57:32,013][exts.embedding]:Innitalized exts.embedding logger

[2020-02-22 19:57:32,013][exts.role]:Innitalized exts.role logger

[2020-02-22 19:57:32,014][exts.poll]:Innitalized exts.poll logger

[2020-02-22 19:57:32,015][exts.time]:Innitalized exts.time logger

[2020-02-22 19:57:32,016][discord.client]:logging in using static token

[2020-02-22 19:57:32,975][discord.gateway]:Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6&compress=zlib-stream

[2020-02-22 19:57:32,978][discord.gateway]:Shard ID None has sent the IDENTIFY payload.

[2020-02-22 19:57:33,176][discord.gateway]:Shard ID None has connected to Gateway: ["gateway-prd-main-tp76",{"micros":34458,"calls":["discord-sessions-prd-1-35",{"micros":32658,"calls":["start_session",{"micros":30595,"calls":["api-prd-main-rhzm",{"micros":26550,"calls":["get_user",{"micros":3045},"add_authorized_ip",{"micros":1623},"get_guilds",{"micros":2156},"coros_wait",{"micros":2}]}]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":1,"calls":[]}]}]}] (Session ID: 59f19de6620dbf0156984bdfb5de599a).

[2020-02-22 19:57:35,178][exts.essentials]:Logged in as Test Bot#6948

[2020-02-22 19:59:19,594][exts.essentials]:Switching to invisible mode

[2020-02-22 19:59:20,036][exts.essentials]:Closing connection to discord

[2020-02-22 19:59:20,208][discord.gateway]:Websocket closed with 1000 (), cannot reconnect.

[2020-02-22 19:59:20,209][discord.client]:Cleaning up tasks.

[2020-02-22 19:59:20,210][discord.client]:Cleaning up after 2 tasks.

[2020-02-22 19:59:20,212][discord.client]:All tasks finished cancelling.

[2020-02-22 19:59:20,212][discord.client]:Closing the event loop.

[2020-02-22 19:59:21,323][utilities]:Innitalized utilities logger

[2020-02-22 19:59:21,325][help]:Innitalized help logger

[2020-02-22 19:59:21,325][config]:Innitalized config logger

[2020-02-22 19:59:21,326][__main__]:Initalized __main__ logger

[2020-02-22 19:59:21,326][discord]:Initalized discord's logger

[2020-02-22 19:59:21,327][exts.slapping]:Innitalized exts.slapping logger

[2020-02-22 19:59:21,328][exts.essentials]:Innitalized exts.essentials logger

[2020-02-22 19:59:21,329][exts.development]:Innitalized exts.development logger

[2020-02-22 19:59:21,329][exts.embedding]:Innitalized exts.embedding logger

[2020-02-22 19:59:21,330][exts.role]:Innitalized exts.role logger

[2020-02-22 19:59:21,330][exts.poll]:Innitalized exts.poll logger

[2020-02-22 19:59:21,331][exts.time]:Innitalized exts.time logger

[2020-02-22 19:59:21,332][discord.client]:logging in using static token

[2020-02-22 19:59:22,376][discord.gateway]:Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6&compress=zlib-stream

